#    x (m)        y (m)        V(x,y) (V)
    6.530612    1.020408    7.200599
    6.734694    1.020408    7.360529
    6.938776    1.020408    7.523052
    7.142857    1.020408    7.688046
    7.346939    1.020408    7.855394
    7.551020    1.020408    8.024982
    7.755102    1.020408    8.196704
    7.959184    1.020408    8.370457
    8.163265    1.020408    8.546146
    8.367347    1.020408    8.723689
    8.571429    1.020408    8.903025
    8.775510    1.020408    9.084135
    8.979592    1.020408    9.267081
    9.183673    1.020408    9.452086
    9.387755    1.020408    9.639680
    9.591837    1.020408    9.830976
    9.795918    1.020408   10.028143
   10.000000    1.020408    0.000000

    0.000000    1.224490    5.149975
    0.204082    1.224490    5.153918
    0.408163    1.224490    5.165737
    0.612245    1.224490    5.185409
    0.816327    1.224490    5.212893
    1.020408    1.224490    5.248133
    1.224490    1.224490    5.291059
    1.428571    1.224490    5.341586
    1.632653    1.224490    5.399613
    1.836735    1.224490    5.465029
    2.040816    1.224490    5.537709
    2.244898    1.224490    5.617518
    2.448980    1.224490    5.704309
    2.653061    1.224490    5.797928
    2.857143    1.224490    5.898211
    3.061224    1.224490    6.004989
    3.265306    1.224490    6.118084
    3.469388    1.224490    6.237317
    3.673469    1.224490    6.362501
    3.877551    1.224490    6.493450
    4.081633    1.224490    6.629973
    4.285714    1.224490    6.771880
    4.489796    1.224490    6.918979
    4.693878    1.224490    7.071080
    4.897959    1.224490    7.227993
    5.102041    1.224490    7.389532
    5.306122    1.224490    7.555512
    5.510204    1.224490    7.725751
    5.714286    1.224490    7.900070
    5.918367    1.224490    8.078296
    6.122449    1.224490    8.260257
    6.326531    1.224490    8.445788
    6.530612    1.224490    8.634729
    6.734694    1.224490    8.826922
    6.938776    1.224490    9.022217
    7.142857    1.224490    9.220468
    7.346939    1.224490    9.421534
    7.551020    1.224490    9.625279
    7.755102    1.224490    9.831573
    7.959184    1.224490   10.040293
    8.163265    1.224490   10.251324
    8.367347    1.224490   10.464564
    8.571429    1.224490   10.679938
    8.775510    1.224490   10.897425
    8.979592    1.224490   11.117120
    9.183673    1.224490   11.339371
    9.387755    1.224490   11.565052
    9.591837    1.224490   11.796131
    9.795918    1.224490   12.036773
   10.000000    1.224490    0.000000

    0.000000    1.428571    5.988440
    0.204082    1.428571    5.993060
    0.408163    1.428571    6.006909
    0.612245    1.428571    6.029960
    0.816327    1.428571    6.062163
    1.020408    1.428571    6.103454
    1.224490    1.428571    6.153748
    1.428571    1.428571    6.212943
    1.632653    1.428571    6.280922
    1.836735    1.428571    6.357551
    2.040816    1.428571    6.442684
    2.244898    1.428571    6.536159
    2.448980    1.428571    6.637803
    2.653061    1.428571    6.747433
    2.857143    1.428571    6.864856
    3.061224    1.428571    6.989871
    3.265306    1.428571    7.122269
    3.469388    1.428571    7.261837
    3.673469    1.428571    7.408357
    3.877551    1.428571    7.561606
    4.081633    1.428571    7.721362
    4.285714    1.428571    7.887399
    4.489796    1.428571    8.059493
    4.693878    1.428571    8.237420
    4.897959    1.428571    8.420957
    5.102041    1.428571    8.609884
    5.306122    1.428571    8.803985
    5.510204    1.428571    9.003046
    5.714286    1.428571    9.206858
    5.918367    1.428571    9.415217
    6.122449    1.428571    9.627923
    6.326531    1.428571    9.844783
    6.530612    1.428571   10.065607
    6.734694    1.428571   10.290215
    6.938776    1.428571   10.518428
    7.142857    1.428571   10.750076
    7.346939    1.428571   10.984995
    7.551020    1.428571   11.223027
    7.755102    1.428571   11.464017
    7.959184    1.428571   11.707821
    8.163265    1.428571   11.954297
    8.367347    1.428571   12.203314
    8.571429    1.428571   12.454756
    8.775510    1.428571   12.708544
